date,time,location,datetime,latitude,longitude
2024-01-24,17:30,Happy Ave North /Happy Ave Ctrl,2024-01-24T17:30:00,,
2024-01-24,17:24,Lor Gambir (Le Gambir),2024-01-24T17:24:00,,
2024-01-24,16:24,Sg Tengah/Sg Tengah Agrotechnology Pk,2024-01-24T16:24:00,,
2024-01-24,16:19,Choa Chu Kang Avenue 1/ Teck Wye Lane,2024-01-24T16:19:00,,
2024-01-24,15:58,Jalan Boonlay (Bus stop B21339),2024-01-24T15:58:00,,
2024-01-24,15:47,Neo Pee Teck Lane / Pasir Panjang Rd,2024-01-24T15:47:00,1.2926881,103.7691134
2024-01-23,16:09,TPE Slip Rd (Punggol West Flyover),2024-01-23T16:09:00,,
2024-01-14,15:33,Sg Tengah (Jln Piring),2024-01-14T15:33:00,,
2024-01-12,12:05,Tuas View OD3 (Tuas South Ave 1),2024-01-12T12:05:00,,
2024-01-12,11:55,Tuas View OD3 (Tuas South Ave 1),2024-01-12T11:55:00,,
2024-01-12,11:14,Tuas View OD3 (Tuas South Ave 1),2024-01-12T11:14:00,,
